iso3,cluster_lvl1,cluster_lvl2
ABW,0,2.0
AFG,0,2.0
AGO,0,2.0
ALB,0,2.0
ARE,0,1.0
ARG,0,0.0
ARM,0,2.0
ATG,0,2.0
AUS,0,0.0
AUT,0,1.0
AZE,0,2.0
BDI,0,2.0
BEL,0,1.0
BEN,0,2.0
BFA,0,2.0
BGD,0,2.0
BGR,0,2.0
BHR,0,1.0
BHS,0,2.0
BIH,0,2.0
BLR,0,2.0
BLZ,0,2.0
BMU,0,2.0
BOL,0,0.0
BRA,0,3.0
BRB,0,2.0
BRN,0,2.0
BTN,0,2.0
BWA,0,2.0
CAF,0,2.0
CAN,0,1.0
CHE,0,2.0
CHL,0,2.0
CHN,1,11.0
CIV,0,2.0
CMR,0,2.0
COD,0,2.0
COG,0,2.0
COK,0,2.0
COL,0,2.0
COM,0,2.0
CPV,0,2.0
CRI,0,2.0
CSHH,0,2.0
CUB,0,2.0
CYM,0,2.0
CYP,0,2.0
CZE,0,1.0
DEU,0,1.0
DJI,0,2.0
DMA,0,2.0
DNK,0,1.0
DOM,0,2.0
DZA,0,2.0
ECU,0,2.0
EGY,0,2.0
ERI,0,2.0
ESP,0,2.0
EST,0,1.0
ETH,0,2.0
FIN,0,1.0
FJI,0,2.0
FRA,0,1.0
FSM,0,2.0
GAB,0,2.0
GBR,0,1.0
GEO,0,2.0
GHA,0,2.0
GIN,0,2.0
GLP,0,2.0
GMB,0,2.0
GNB,0,2.0
GNQ,0,2.0
GRC,0,2.0
GRD,0,2.0
GTM,0,2.0
GUF,0,0.0
GUY,0,0.0
HND,0,2.0
HRV,0,2.0
HTI,0,2.0
HUN,0,2.0
IDN,0,2.0
IND,1,11.0
IRL,0,1.0
IRN,0,2.0
IRQ,0,2.0
ISR,0,2.0
ITA,0,1.0
JAM,0,2.0
JOR,0,2.0
JPN,0,1.0
KAZ,0,2.0
KEN,0,2.0
KGZ,0,2.0
KHM,0,2.0
KIR,0,2.0
KOR,0,1.0
KWT,0,1.0
LAO,0,2.0
LBN,0,2.0
LBR,0,2.0
LBY,0,2.0
LCA,0,2.0
LKA,0,2.0
LSO,0,2.0
LTU,0,1.0
LUX,0,1.0
LVA,0,1.0
MAR,0,2.0
MDA,0,2.0
MDG,0,2.0
MEX,0,2.0
MKD,0,2.0
MLI,0,2.0
MLT,0,2.0
MMR,0,2.0
MNE,0,2.0
MNG,0,0.0
MOZ,0,2.0
MRT,0,2.0
MSR,0,2.0
MTQ,0,2.0
MUS,0,2.0
MWI,0,2.0
MYS,0,2.0
NAM,0,2.0
NER,0,2.0
NGA,0,2.0
NIC,0,2.0
NLD,0,1.0
NOR,0,1.0
NPL,0,2.0
NZL,0,0.0
OMN,0,1.0
PAK,0,2.0
PAN,0,2.0
PER,0,2.0
PHL,0,2.0
PNG,0,2.0
POL,0,1.0
PRK,0,2.0
PRT,0,2.0
PRY,0,0.0
PYF,0,2.0
QAT,0,1.0
REU,0,2.0
ROU,0,2.0
RUS,0,1.0
RWA,0,2.0
SAU,0,2.0
SCG,0,2.0
SDN,0,2.0
SEN,0,2.0
SGP,0,1.0
SLE,0,2.0
SLV,0,2.0
SOM,0,2.0
SRB,0,2.0
SSD,0,2.0
STP,0,2.0
SUR,0,0.0
SUUH,0,2.0
SVK,0,1.0
SVN,0,1.0
SWE,0,1.0
SWZ,0,2.0
SYR,0,2.0
TCD,0,2.0
TGO,0,2.0
THA,0,2.0
TJK,0,2.0
TKM,0,2.0
TLS,0,2.0
TON,0,2.0
TTO,0,2.0
TUN,0,2.0
TUR,0,2.0
TZA,0,2.0
UGA,0,2.0
UKR,0,2.0
URY,0,0.0
USA,1,11.0
UZB,0,2.0
VEN,0,2.0
VNM,0,2.0
VUT,0,2.0
WSM,0,2.0
YEM,0,2.0
YUG,0,2.0
ZAF,0,2.0
ZMB,0,2.0
ZWE,0,2.0
