iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
ABW,6.9,7.970452792437604,16.9,7.909524359333123,-0.060928433104481705,0.7644287556949191
ABW,6.9,7.970452792437604,26.9,7.869616829497125,-0.10083596294047936,1.2651221400640238
ABW,6.9,7.9704527924376025,36.9,7.858257607840455,-0.11219518459714717,1.407638781871946
ABW,6.9,7.9704527924376025,56.9,7.858155027616455,-0.11229776482114762,1.4089257881019783
AFG,19.1,0.3895919449775783,29.1,0.38899883244974476,-0.0005931125278335614,0.1522394226779242
AFG,19.1,0.38959194497757815,39.1,0.3847362991127606,-0.0048556458648175704,1.2463414419661636
AFG,19.1,0.38959194497757826,49.1,0.3847362991127607,-0.0048556458648175704,1.2463414419661634
AFG,19.1,0.38959194497757826,69.1,0.383905918853475,-0.005686026124103238,1.4594824655398047
AGO,47.5,1.1060482463939199,57.5,1.1037149561178006,-0.002333290276119282,0.21095736860725323
AGO,47.5,1.1060482463939194,67.5,1.1026851066506578,-0.003363139743261634,0.30406808692356546
AGO,47.5,1.1060482463939196,77.5,1.1011548834839915,-0.004893362909928145,0.44241857675577123
AGO,47.5,1.1060482463939196,97.5,1.1011548834839908,-0.004893362909928811,0.44241857675583146
ALB,38.6,2.05844274325676,48.6,2.04510566407626,-0.013337079180499867,0.6479208238456339
ALB,38.6,2.0584427432567596,58.6,2.044607044246927,-0.013835699009832503,0.6721439814226937
ALB,38.6,2.0584427432567596,68.6,2.044607044246927,-0.013835699009832503,0.6721439814226937
ALB,38.6,2.05844274325676,88.6,2.044607044246927,-0.013835699009832947,0.6721439814227151
ARE,0.1,24.995651959653348,10.1,24.39137885437925,-0.6042731052740962,2.417512878837814
ARE,0.1,24.995651959653348,20.1,24.39137885437925,-0.6042731052740962,2.417512878837814
ARE,0.1,24.99565195965335,30.1,24.374686844802113,-0.6209651148512378,2.4842925315713575
ARE,0.1,24.995651959653344,50.1,24.350141340935448,-0.6455106187178963,2.582491625982972
ARG,9.8,4.568004391845753,19.8,4.535999548624642,-0.0320048432211113,0.7006307454135215
ARG,9.8,4.568004391845753,29.8,4.478281594948847,-0.08972279689690676,1.9641574131817607
ARG,9.8,4.568004391845754,39.8,4.468818140120275,-0.09918625172547912,2.171325664715523
ARG,9.8,4.568004391845753,59.8,4.468818140120276,-0.09918625172547735,2.1713256647154853
ARM,7.1,1.997622487066468,17.1,1.9681963701801184,-0.029426116886349662,1.4730569502930586
ARM,7.1,1.9976224870664678,27.1,1.9602024060196426,-0.03742008104682526,1.8732308676489264
ARM,7.1,1.9976224870664678,37.1,1.9400327353873286,-0.05758975167913927,2.882914667410983
ARM,7.1,1.9976224870664678,57.1,1.9197342777445736,-0.07788820932189422,3.8990454816252083
ATG,0.1,6.060011768702396,10.1,5.729463840478313,-0.3305479282240835,5.4545756813746635
ATG,0.1,6.060011768702398,20.1,5.7040739038445265,-0.3559378648578715,5.873550719755232
ATG,0.1,6.060011768702394,30.1,5.6551133265948605,-0.4048984421075339,6.681479468384484
ATG,0.1,6.060011768702397,50.1,5.642739840690096,-0.4172719280123012,6.885662007578077
AUS,9.3,16.225818170212893,19.3,16.20896835023789,-0.01684981997500401,0.10384573399162483
AUS,9.3,16.225818170212893,29.3,16.168943949494082,-0.056874220718810875,0.35051681291005526
AUS,9.3,16.22581817021289,39.3,16.14985848451203,-0.07595968570085887,0.46814086601996135
AUS,9.3,16.22581817021289,59.3,16.14985848451203,-0.07595968570085887,0.46814086601996135
AUT,35.7,8.203943484832777,45.7,8.203943484832777,0.0,0.0
AUT,35.7,8.203943484832777,55.7,8.203943484832779,1.7763568394002505e-15,2.1652475333165442e-14
AUT,35.7,8.203943484832779,65.7,8.203943484832779,0.0,0.0
AUT,35.7,8.203943484832777,85.7,8.203943484832779,1.7763568394002505e-15,2.1652475333165442e-14
AZE,2.1,3.5977241632908497,12.1,3.5228500948381503,-0.0748740684526994,2.081150890239786
AZE,2.1,3.5977241632908483,22.1,3.5093906665975014,-0.08833349669334689,2.4552604003011727
