iso3,is_outlier,anomaly_score,co2_pc,gdp_pc
CHN,True,-0.7473314009026579,7.1978407,6108.24
USA,True,-0.680512475749231,17.11055,50782.5
IND,True,-0.6510321404589757,1.6371114,1646.78
BRA,True,-0.5791580574246087,2.7883189,11866.4
LUX,True,-0.556414878026907,17.647102,107153.0
CAN,True,-0.5555185550206374,15.896765,50067.0
NOR,True,-0.5354247422733693,8.751203,89275.0
AUS,True,-0.532576237343931,16.644192,54394.3
RUS,True,-0.5299278197639208,11.31587,11493.7
DEU,True,-0.5035022971611873,9.739707,45022.6
IDN,False,-0.5002655076324466,1.8846375,3692.94
NLD,False,-0.48256083811615624,9.239101,50497.2
BEL,False,-0.47545108669536706,8.6559305,44702.3
JPN,False,-0.4749502160488787,9.913247,46466.1
DNK,False,-0.4650805000373965,6.656015,59437.9
ARG,False,-0.454569806824456,4.3788686,10323.2
SUUH,False,-0.4519343641275979,,
GBR,False,-0.4466954066498878,6.764838,40908.7
FRA,False,-0.44637986246696426,5.052249,41431.0
QAT,False,-0.44619753430429776,41.10213,67901.2
SWE,False,-0.4450115716364633,4.48339,53561.9
NZL,False,-0.44228632049544103,7.9118466,35350.4
FIN,False,-0.4336025426846711,8.719377,45239.4
ESP,False,-0.42401647078508586,5.4405065,29496.4
ITA,False,-0.42388515014628736,5.759587,33626.1
URY,False,-0.42353848518213894,1.9904869,13856.7
NGA,False,-0.42181664485270715,0.69541794,2563.09
IRL,False,-0.420117065290547,7.910841,54527.3
MEX,False,-0.4139580068424995,4.040971,9492.99
KOR,False,-0.41181907296077014,12.453083,24323.6
SGP,False,-0.41179295530319443,8.721374,51865.7
ARE,False,-0.4116739486729208,25.492752,39034.4
KWT,False,-0.40875352968493517,20.851244,36259.4
BMU,False,-0.4049528342174374,10.55941,79251.8
CHE,False,-0.40307063076154276,4.788791,76410.9
PAK,False,-0.40269860749872516,0.73136306,1111.2
EST,False,-0.398853819951785,14.290873,17453.4
AUT,False,-0.3974022165405442,7.5067415,47886.6
GUF,False,-0.3896280755561225,,35657.5
BHR,False,-0.38756296928419787,23.537216,22390.7
BGD,False,-0.3855922414092028,0.42763647,922.161
MNG,False,-0.3842159658592895,10.170369,3901.87
TUR,False,-0.3839771619922318,4.6648703,13312.0
POL,False,-0.38160196741031016,8.090834,14088.7
OMN,False,-0.37849570526054677,16.46802,17132.1
BHS,False,-0.3783607698976048,5.405967,21078.7
IRN,False,-0.37824818378524044,7.903496,6161.1
LTU,False,-0.37822822899604974,4.3928776,14932.6
MYS,False,-0.3761214273920707,7.9830947,10398.2
LVA,False,-0.3761034256351894,3.5967214,13786.4
ETH,False,-0.3755364512283707,0.11542686,452.778
BRN,False,-0.37493910159147875,21.192278,33313.8
KAZ,False,-0.37491972183718475,15.395486,10645.5
THA,False,-0.3745665425738388,3.8806882,5589.7
SVN,False,-0.3735611545411941,6.5884333,23224.4
PRY,False,-0.3726549451746351,0.89924765,3761.91
VEN,False,-0.3705746760205994,5.816131,13709.0
VNM,False,-0.3651978062599227,1.9630398,1596.35
CHL,False,-0.36436867095699504,4.3433294,14702.0
UKR,False,-0.36420216050132054,5.604219,3123.92
MLT,False,-0.3632464980928064,5.5635734,24080.2
COD,False,-0.362131763187509,0.06461416,378.791
SUR,False,-0.3610923212790124,5.5631146,8942.96
ISR,False,-0.36065968045321245,7.6334467,32661.3
CZE,False,-0.35990588767962617,9.911981,20343.7
PHL,False,-0.35823172391991015,0.97125316,2505.82
TZA,False,-0.35544357947342103,0.2201672,806.15
COL,False,-0.35434559573965496,2.0203397,7291.69
SVK,False,-0.3541479709926939,6.224752,18003.5
PER,False,-0.3527499743885401,1.6399497,5823.96
PRT,False,-0.3527126050010492,4.607115,21533.5
TTO,False,-0.35116053824551824,32.99713,16862.6
GUY,False,-0.35074647431175243,2.6148195,3598.29
NAM,False,-0.3487598321627127,1.6175814,5901.24
SAU,False,-0.34756378683305666,20.193333,21183.5
HUN,False,-0.3457687393578857,4.4246006,14119.1
BOL,False,-0.3448805599248799,1.8331811,2317.26
ZAF,False,-0.34334502026535,8.489372,7626.81
GAB,False,-0.3430751798261002,3.2195609,9508.15
AGO,False,-0.34281872412954684,0.96059424,3747.57
MMR,False,-0.3424981688037371,0.31272396,1266.12
EGY,False,-0.3424171073078211,2.3264904,2608.38
GRC,False,-0.3412864176462982,7.218839,22565.7
FJI,False,-0.3404566526067043,1.2858326,4084.2
BTN,False,-0.3401086938426903,1.8923628,2500.26
GNQ,False,-0.33765894778649247,5.481011,16028.3
MAR,False,-0.3370509520719111,1.6715494,3110.21
IRQ,False,-0.3359341849230827,3.7488654,5203.44
BLR,False,-0.3354043768328529,6.7192183,6664.1
FSM,False,-0.3346538727080357,1.2510313,2716.32
BLZ,False,-0.33464160126032433,1.3442441,4415.99
LBY,False,-0.3339985322105253,10.634219,4578.53
BGR,False,-0.3335118162963512,6.264565,7299.55
SCG,False,-0.3317606726866709,,
PYF,False,-0.33175109323557456,3.076039,
UGA,False,-0.3316633569722179,0.11236738,642.877
ROU,False,-0.3315958811408382,3.960944,9158.52
PNG,False,-0.33159587895859693,0.7181674,2271.48
SYR,False,-0.3315140633387877,1.5262723,
SDN,False,-0.33079596924235244,0.3372939,1837.14
KEN,False,-0.33051255275320224,0.3155505,1075.64
ABW,False,-0.3294405883685593,8.438394,24271.9
CYP,False,-0.32934907031401905,5.7849126,26977.6
KIR,False,-0.3288007382606865,0.5084652,1565.24
COG,False,-0.328771388671033,1.0995314,2922.97
DJI,False,-0.32870514996402045,0.4128488,1508.29
TKM,False,-0.32814319608356524,10.336934,6399.27
ECU,False,-0.32761191197627115,2.7272305,5428.71
PAN,False,-0.3274895031588687,2.789122,10229.2
DZA,False,-0.3274432886721712,3.8587632,4675.89
GHA,False,-0.32715471024480125,0.4726014,1659.78
MDG,False,-0.326613375568399,0.12500173,408.661
NER,False,-0.3264937517417799,0.117416464,386.726
HRV,False,-0.3261399542288277,4.184725,13517.8
MOZ,False,-0.3261100403506244,0.31495103,493.252
BRB,False,-0.3252486667014472,4.9668345,15864.6
MRT,False,-0.3248361323932139,0.6668666,1326.16
TCD,False,-0.3248131232596062,0.15383999,967.103
CIV,False,-0.3246235352535295,0.40376273,1384.91
SOM,False,-0.32355175902839933,0.047243927,
SSD,False,-0.32231480709500476,0.13338423,820.114
LBN,False,-0.3221233880494636,3.7800877,7447.36
YUG,False,-0.3215470643040571,,
LKA,False,-0.32135640663965953,0.8084504,3506.73
ZMB,False,-0.32104769782123993,0.30679289,1620.82
UZB,False,-0.3207628063670897,3.5535774,1744.49
ATG,False,-0.3204363955047985,6.400541,12403.5
CSHH,False,-0.3202244795127333,,
YEM,False,-0.3199812061852852,0.876051,1101.12
MLI,False,-0.3197165107814194,0.17400725,705.788
GRD,False,-0.31951542246130316,2.087237,7932.67
AFG,False,-0.31942989100620167,0.27707693,610.242
NPL,False,-0.3193226402163873,0.27432936,675.735
CAF,False,-0.3193164363145615,0.026946153,302.546
GLP,False,-0.319208693209184,,
MUS,False,-0.31874394532514144,3.255757,9163.63
BWA,False,-0.3185212478740089,3.1538363,7574.28
LAO,False,-0.3183380380309427,0.6638244,1470.5
LBR,False,-0.31822292861280044,0.16071093,376.589
REU,False,-0.31769455339739905,,
MNE,False,-0.31686571263276486,3.3370714,7045.12
ERI,False,-0.31645144721962576,0.18387242,514.18
CMR,False,-0.31634529656895166,0.39762333,1428.22
PRK,False,-0.3162933448854946,1.5633109,
BFA,False,-0.315939427428606,0.15710077,639.71
SRB,False,-0.31569864481173776,5.1483583,5593.06
GNB,False,-0.3155745404881637,0.14941582,545.898
AZE,False,-0.31520557723071657,3.566412,6122.98
GMB,False,-0.31494790342658746,0.23360372,530.318
BIH,False,-0.31491459740346484,5.41739,4992.91
CYM,False,-0.3148675131129768,,
GIN,False,-0.31480642217683386,0.18874304,699.964
TLS,False,-0.3145999587967471,0.52819455,893.872
COK,False,-0.314554511094559,4.602752,
CRI,False,-0.31447691656447135,1.6253791,9077.42
SEN,False,-0.314382449717007,0.6164729,1018.39
MSR,False,-0.3142277675766673,10.123698,
TJK,False,-0.3142255284807773,0.5459748,892.64
CPV,False,-0.3141221143508572,0.9512592,3369.64
MWI,False,-0.3140578787319055,0.06261528,484.369
SLV,False,-0.3139294092354097,0.9980938,3668.2
BDI,False,-0.31375968281598043,0.03223039,243.102
MTQ,False,-0.31372235460190934,,
SWZ,False,-0.31354062810900807,0.67716897,3980.77
COM,False,-0.3134605851318568,0.22659819,779.84
NIC,False,-0.31332452200614763,0.78219247,1812.99
TON,False,-0.31330850983036324,1.065656,3581.84
ZWE,False,-0.3131053071418326,0.8408449,939.78
DMA,False,-0.3130580139313879,2.3441098,6951.03
GEO,False,-0.31303489967725806,2.3567052,3851.72
KHM,False,-0.31301062706773414,0.43509176,972.979
LSO,False,-0.3129349405305873,1.1890179,1323.24
STP,False,-0.3126231462873173,0.65187114,1241.0
TGO,False,-0.31261182333674586,0.20634533,531.156
VUT,False,-0.3124938527490793,0.60551274,2909.78
JOR,False,-0.3124870052361055,2.9458408,3348.83
LCA,False,-0.31237487501518674,2.7780056,7987.53
SLE,False,-0.3113875826925228,0.16411543,563.174
GTM,False,-0.3113623171895904,0.88173604,3007.9
RWA,False,-0.31115975301228,0.07301585,672.749
HTI,False,-0.31061516044005977,0.26073214,728.78
DOM,False,-0.31061073541577094,2.1133895,6193.76
WSM,False,-0.3102791856304979,1.0075547,3524.6
MKD,False,-0.3102200733568286,3.6057072,4920.22
MDA,False,-0.31012184472644644,1.4236593,1986.94
ALB,False,-0.30999864845013153,2.0662165,4413.56
BEN,False,-0.30975746853205527,0.43481556,833.662
HND,False,-0.309478024066147,1.0461389,2059.47
CUB,False,-0.3094145642438846,2.4251842,6182.77
TUN,False,-0.3093159502614692,2.6336272,4265.15
JAM,False,-0.30855727299217783,2.7552822,4714.86
ARM,False,-0.30735981410461255,1.9176472,3827.34
KGZ,False,-0.3070554721564264,1.7354872,1003.51
