"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.527983104540655","0.1","0.141163456065734","0.1","0.1","0.1","0.1","0.1","0.1",
"Africa Eastern and Southern","AFE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0775419835896","11.3817816317135","11.5916271503831","","12.3553883054037","","12.4451248014532","13.7378764381345","13.7671887566972","13.7946089202179","14.1743346523835","14.4695723752202",
"Afghanistan","AFG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.4","0.4","0.104707040342723","0.1","0.104707034792812","0.1","3.6","3.6","3.6","3.6","3.6",
"Africa Western and Central","AFW","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6525253593234","11.6506576581073","11.6493198499422","","12.5076761716752","","12.5339186850519","12.5600983838717","12.6611203789468","12.6634538874703","12.6634538874703","12.4799200859478",
"Angola","AGO","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","5","5","5.00471334206571","5","5.00471082728009","5","5","5","5","7.7","7.7",
"Albania","ALB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7","1.8","2.2","13.1477494617734","13.5","13.5256825491485","14.2","14.2","14.2","14.2","14.2","18",
"Andorra","AND","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2","18.2","21.1","21.1909302818394","26.7","26.7277247815139","26.7","26.7","26.9","26.9","26.9","27.3",
"Arab World","ARB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24648729920365","9.69920939363875","7.8066913583501","","4.510071172597","","4.13992293651636","3.09304456843097","3.06846880635519","3.07804618018888","4.36992185123419","5.59608893246836",
"United Arab Emirates","ARE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.9","15.9","15.9","9.23566752233697","11.6","15.0438947733197","15","15.9","15.9","15.9","15.9","16.1",
"Argentina","ARG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7.3","7.4","7.52859334896618","7.5","7.40512875012761","9.4","9.4","9.4","9.6","9.6","9.7",
"Armenia","ARM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","23.1","23.1","23.1090030789546","23.1","23.1105028060216","24.3","24.3","24.3","24.7","24.7","38.9",
"American Samoa","ASM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.7","8.7","8.70852175263238","8.7","8.71956554004454","8.7","0","8.7","8.7","8.7","8.7",
"Antigua and Barbuda","ATG","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.2","0.2","0.271690243750207","0.3","0.258339766209328","0.3","0.4","0.4","0.4","0.4","0.8",
"Australia","AUS","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1","29","28.7","28.5918417236676","29.7","29.7087937305528","29.9","30.4","32.1","32.1","32.1","33.5",
"Austria","AUT","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","28.3","28.4","28.4439825865815","28.4","28.3979816556051","28.4","29.1","29.3","29.5","29.5","29.6",
"Azerbaijan","AZE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4","5.5","5.5","5.51874580872895","5.5","5.51915683577014","5.5","5.5","5.5","5.5","5.5","12",
"Burundi","BDI","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","7","7.59254563428626","7.6","7.59147170587878","7.6","7.6","7.6","7.6","7.6","7.6",
"Belgium","BEL","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3","24.2","24.2","24.5781622457406","24.7","24.6491730272904","26.1","17.6","17.8","17.8","17.8","18.5",
"Benin","BEN","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.5","22.9","28.8719449693959","23.5","23.4719085609043","23.5","23.5","23.5","23.5","23.5","23.5",
"Burkina Faso","BFA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8","15.8","15.8","15.084819776291","14.9","14.9228805539331","14.9","16.4","16.4","16.4","16.4","16.5",
"Bangladesh","BGD","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","4.9","4.9","4.88867647961894","4.9","4.88864858128713","4.9","4.9","4.9","4.9","5.9","5.6",
"Bulgaria","BGR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","31.5","32.8","28.2871319536603","28.3","28.2969904804196","32.8","33.1","33.1","33.1","33.1","35.6",
"Bahrain","BHR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","7.3","1.7","1.69477264805221","1.7","1.68635200570205","1.7","1.7","1.7","20.5","20.5","20.6",
"Bahamas, The","BHS","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","1.2","1.24025812422249","8.6","8.55510641678468","8.6","8.6","8.6","8.6","8.6","8.3",
