iso3,year,co2_pc
AFG,1949,0.0019921463
AFG,1950,0.010837263
AFG,1951,0.011625405
AFG,1952,0.011467579
AFG,1953,0.013123442
AFG,1954,0.012945561
AFG,1955,0.018480754
AFG,1956,0.021669537
AFG,1957,0.03413018
AFG,1958,0.03780192
AFG,1959,0.04336016
AFG,1960,0.045809105
AFG,1961,0.05326635
AFG,1962,0.073220685
AFG,1963,0.07358424
AFG,1964,0.085442044
AFG,1965,0.10033108
AFG,1966,0.10628497
AFG,1967,0.12201357
AFG,1968,0.113731004
AFG,1969,0.08543167
AFG,1970,0.14795254
AFG,1971,0.16369417
AFG,1972,0.12910344
AFG,1973,0.13451722
AFG,1974,0.15343168
AFG,1975,0.16607156
AFG,1976,0.15167592
AFG,1977,0.17871422
AFG,1978,0.15819833
AFG,1979,0.16350539
AFG,1980,0.1333637
AFG,1981,0.16573456
AFG,1982,0.19056666
AFG,1983,0.23080859
AFG,1984,0.2521443
AFG,1985,0.30642176
AFG,1986,0.27439904
AFG,1987,0.27343583
AFG,1988,0.24792463
AFG,1989,0.23284891
AFG,1990,0.16805492
AFG,1991,0.15641208
AFG,1992,0.111609384
AFG,1993,0.09950683
AFG,1994,0.08946224
AFG,1995,0.08305075
AFG,1996,0.07713151
AFG,1997,0.0706779
AFG,1998,0.06672792
AFG,1999,0.054890107
AFG,2000,0.05201756
AFG,2001,0.052705813
AFG,2002,0.06272756
AFG,2003,0.06860518
AFG,2004,0.052513395
AFG,2005,0.07742447
AFG,2006,0.084932104
AFG,2007,0.10806375
AFG,2008,0.16065192
AFG,2009,0.23271954
AFG,2010,0.29574293
AFG,2011,0.40338182
AFG,2012,0.32838082
AFG,2013,0.2918324
AFG,2014,0.27707693
AFG,2015,0.2858318
AFG,2016,0.25666383
AFG,2017,0.27116117
AFG,2018,0.28854162
AFG,2019,0.2859553
AFG,2020,0.29706287
AFG,2021,0.25679472
AFG,2022,0.26018026
AFG,2023,0.26583755
,1884,0.00016810493
,1885,0.00027865346
,1886,0.00036027696
,1887,0.00035830968
,1888,0.00060305005
,1889,0.0009820405
,1890,0.0022003131
,1891,0.0021923848
,1892,0.0035353242
,1893,0.013219625
,1894,0.017834708
,1895,0.024409406
,1896,0.031057494
,1897,0.034764815
,1898,0.043902785
,1899,0.039936516
,1900,0.016815761
,1901,0.028121473
,1902,0.04176499
,1903,0.056402333
,1904,0.06341765
,1905,0.07276437
,1906,0.08275714
,1907,0.0909625
,1908,0.09390756
,1909,0.10735923
,1910,0.12100435
,1911,0.116731
,1912,0.123760745
,1913,0.13460414
,1914,0.13367727
,1915,0.13349853
,1916,0.15768538
,1917,0.17112114
,1918,0.16625711
,1919,0.17010342
,1920,0.18615878
,1921,0.18404068
,1922,0.15595937
,1923,0.18666829
,1924,0.19445343
,1925,0.20180704
,1926,0.21327865
,1927,0.2069944
,1928,0.21005066
,1929,0.21359752
,1930,0.19853099
,1931,0.17142504
,1932,0.15295953
,1933,0.16163766
,1934,0.18227975
,1935,0.19862159
,1936,0.21307538
,1937,0.22562651
,1938,0.23430876
