iso3,year,renew_pct
ABW,1990,0.3
AFE,1990,60.9100030584341
AFG,1990,23.0
AFW,1990,85.9285141294439
AGO,1990,72.3
ALB,1990,25.5
AND,1990,14.1
ARB,1990,7.43882276752897
ARE,1990,0.0
ARG,1990,8.6
ARM,1990,2.1
ASM,1990,0.0
ATG,1990,0.0
AUS,1990,8.0
AUT,1990,25.2
AZE,1990,0.7
BDI,1990,94.6
BEL,1990,1.3
BEN,1990,93.7
BFA,1990,86.3
BGD,1990,71.7
BGR,1990,1.8
BHR,1990,0.0
BHS,1990,0.0
BIH,1990,7.3
BLR,1990,0.9
BLZ,1990,38.0
BMU,1990,0.0
BOL,1990,37.0
BRA,1990,49.8
BRB,1990,17.5
BRN,1990,0.7
BTN,1990,95.9
BWA,1990,49.0
CAF,1990,93.9
CAN,1990,22.6
CEB,1990,4.13418535380991
CHE,1990,16.8
CHL,1990,34.0
CHN,1990,33.9
CIV,1990,73.6
CMR,1990,81.6
COD,1990,92.0
COG,1990,65.4
COL,1990,38.1
COM,1990,74.0
CPV,1990,21.1
CRI,1990,45.4
CSS,1990,28.0547843665768
CUB,1990,42.9
CUW,1990,0.0
CYM,1990,0.0
CYP,1990,0.5
CZE,1990,3.6
DEU,1990,2.1
DJI,1990,29.6
DMA,1990,14.6
DNK,1990,7.0
DOM,1990,28.0
DZA,1990,0.2
EAP,1990,36.7865285863341
EAR,1990,34.7867054797112
EAS,1990,26.4329897547097
ECA,1990,4.61297264778511
ECS,1990,5.69927744299961
ECU,1990,24.2
EGY,1990,9.0
EMU,1990,6.65620288834096
ESP,1990,10.6
EST,1990,3.5
ETH,1990,96.2
EUU,1990,6.90816268383563
FCS,1990,36.2519392513214
FIN,1990,24.5
FJI,1990,57.1
FRA,1990,10.5
FRO,1990,2.5
GAB,1990,78.3
GBR,1990,0.7
GEO,1990,12.8
GHA,1990,80.6
GIB,1990,0.0
GIN,1990,89.5
GMB,1990,62.0
GNB,1990,88.6
GNQ,1990,84.7
GRC,1990,7.8
GRD,1990,8.3
GRL,1990,0.5
GTM,1990,75.0
GUM,1990,0.5
GUY,1990,55.1
HIC,1990,5.93958968257494
HKG,1990,0.2
HND,1990,70.1
HPC,1990,85.8256336224601
HRV,1990,21.6
HTI,1990,87.2
HUN,1990,3.9
IBD,1990,21.9451636083628
IBT,1990,26.7733477614135
IDA,1990,67.0138023007064
IDB,1990,58.9370141729288
IDN,1990,59.2
IDX,1990,75.393617777193
IND,1990,53.0
IRL,1990,2.3
IRN,1990,1.2
IRQ,1990,1.6
ISL,1990,54.7
ISR,1990,5.8
ITA,1990,3.8
JAM,1990,12.5
JOR,1990,2.8
JPN,1990,4.3
KAZ,1990,1.4
KEN,1990,76.5
KGZ,1990,7.9
KIR,1990,64.0
KNA,1990,39.9
KOR,1990,1.6
KWT,1990,0.2
LAC,1990,34.7143229143872
LAO,1990,88.4
LBN,1990,11.3
LBR,1990,89.1
LBY,1990,3.1
LCA,1990,43.1
LCN,1990,32.5752536330403
LDC,1990,85.8400508900479
LIC,1990,59.0926612667122
LIE,1990,64.8
LKA,1990,78.1
LMC,1990,55.4382361442335
LMY,1990,34.6684067251849
LSO,1990,52.0
LTE,1990,19.5142340287194
LTU,1990,3.1
LUX,1990,1.7
LVA,1990,17.6
MAC,1990,0.8
MAR,1990,22.4
MDA,1990,1.1
MDG,1990,87.2
MDV,1990,4.5
MEA,1990,2.91649940791443
MEX,1990,14.4
MIC,1990,33.4469526157946
MKD,1990,2.4
MLI,1990,87.2
MLT,1990,0.0
MMR,1990,90.9
MNA,1990,4.12430064452157
MNG,1990,1.9
MOZ,1990,93.0
MRT,1990,47.0
MUS,1990,47.1
MWI,1990,84.0
MYS,1990,8.3
NAC,1990,6.17654889787694
NCL,1990,10.6
NER,1990,91.4
NGA,1990,87.8
NIC,1990,68.8
NLD,1990,1.2
NOR,1990,59.2
NPL,1990,95.1
NRU,1990,0.0
NZL,1990,28.0
OED,1990,7.20128471427074
OMN,1990,0.0
OSS,1990,21.728
PAK,1990,57.5
PAN,1990,43.0
PER,1990,39.4
PHL,1990,49.5
PNG,1990,71.7
POL,1990,2.5
PRE,1990,78.2616496400305
PRI,1990,1.8
PRK,1990,7.2
PRT,1990,27.0
PRY,1990,78.5
PSE,1990,22.1
PSS,1990,52.8389102564103
PST,1990,6.32306678487098
PYF,1990,4.3
QAT,1990,0.2
ROU,1990,3.4
RUS,1990,3.8
RWA,1990,80.1
SAS,1990,55.7433187700168
SAU,1990,0.0
SDN,1990,73.3
SEN,1990,55.5
SGP,1990,0.2
SLB,1990,60.2
SLE,1990,92.3
SLV,1990,67.1
SOM,1990,86.3
SRB,1990,14.5
SSA,1990,70.7869993026195
SSF,1990,70.7775753118701
SST,1990,24.190143614293
STP,1990,50.9
SVK,1990,2.2
SVN,1990,12.3
SWE,1990,34.1
SWZ,1990,62.2
SYC,1990,4.2
SYR,1990,2.4
TCA,1990,0.8
TCD,1990,89.5
TEA,1990,37.8188395963066
TEC,1990,4.04588404808782
TGO,1990,78.7
THA,1990,33.5
TJK,1990,29.6
TKM,1990,0.0
TLA,1990,32.3703181246718
TMN,1990,4.05889932725608
TON,1990,1.4
TSA,1990,55.7433187700168
TSS,1990,70.7775753118701
TTO,1990,1.2
TUN,1990,14.5
TUR,1990,24.4
TUV,1990,0.0
TZA,1990,93.3
UGA,1990,96.6
UKR,1990,0.7
UMC,1990,25.8876719928911
URY,1990,44.8
USA,1990,4.2
