yhat,yhat_lower,yhat_upper,year
0.0,-1.290430326945492e-09,1.3285631256406915e-09,1961
0.0,-1.244439457412067e-09,1.1962901164677114e-09,1962
0.0,-1.2369312870829312e-09,1.3462748613959797e-09,1963
0.0,-1.3814152544518636e-09,1.2766027265981286e-09,1964
0.0,-1.2013891944027991e-09,1.3019426681421756e-09,1965
0.0,-1.3268782741066916e-09,1.258385525952037e-09,1966
0.0,-1.279747332114313e-09,1.3344910727788115e-09,1967
0.0,-1.3161378390317897e-09,1.2581625863538895e-09,1968
0.0,-1.2691420364949142e-09,1.3450075107159759e-09,1969
0.0,-1.2985448788203134e-09,1.2994472526609954e-09,1970
0.0,-1.2595632546237216e-09,1.204462948805095e-09,1971
0.0,-1.2894639094344314e-09,1.3132634997401372e-09,1972
0.0,-1.33201586395825e-09,1.3276879646380342e-09,1973
0.0,-1.2792187408484797e-09,1.2913036115796892e-09,1974
0.0,-1.2902002024417321e-09,1.3473534971028965e-09,1975
0.0,-1.366975057822579e-09,1.2676689972249516e-09,1976
0.0,-1.2970802597300498e-09,1.3352257082711454e-09,1977
0.0,-1.2485249049097182e-09,1.2614033766116353e-09,1978
0.0,-1.316302997156887e-09,1.2308146752375568e-09,1979
0.0,-1.3267986863567417e-09,1.406857465917518e-09,1980
0.0,-1.1769837674807322e-09,1.3315111796952522e-09,1981
0.0,-1.2524490725457058e-09,1.4405112497412771e-09,1982
0.0,-1.2713249789654872e-09,1.224518203756792e-09,1983
0.0,-1.3322347594755213e-09,1.237248399301407e-09,1984
0.0,-1.2395849733618982e-09,1.3217655833413703e-09,1985
0.0,-1.2575373364225776e-09,1.2881519915034249e-09,1986
0.0,-1.3397401242427809e-09,1.197514533739802e-09,1987
0.0,-1.304362296815533e-09,1.3171841806863293e-09,1988
0.0,-1.3048522667201861e-09,1.2773007704143667e-09,1989
0.0,-1.2104784904229817e-09,1.4008995684632698e-09,1990
0.0,-1.3110150925733849e-09,1.3409388188225283e-09,1991
0.0,-1.2500697379200338e-09,1.3225252032148043e-09,1992
0.0,-1.3730438490104892e-09,1.3417050178599111e-09,1993
0.0,-1.270212833394926e-09,1.257155475231118e-09,1994
0.0,-1.2001421672946352e-09,1.2901915250595423e-09,1995
0.0,-1.3202468688790499e-09,1.2921312443776773e-09,1996
0.0,-1.2385531923165718e-09,1.2662070931463463e-09,1997
0.0,-1.3240431558372094e-09,1.2820298515756987e-09,1998
0.0,-1.334717497561389e-09,1.301922188629117e-09,1999
0.0,-1.2764855228121675e-09,1.2825119884498763e-09,2000
0.0,-1.3108459824638341e-09,1.2491550792054242e-09,2001
0.0,-1.2750119792368403e-09,1.1526353262481459e-09,2002
0.0,-1.3055633134760694e-09,1.2605524668234567e-09,2003
0.0,-1.2877286372599442e-09,1.2927486501851858e-09,2004
0.0,-1.3195838105905965e-09,1.2292639018554963e-09,2005
0.0,-1.3021666292585123e-09,1.2117870803009236e-09,2006
0.0,-1.3111525955727068e-09,1.2338097505995895e-09,2007
0.0,-1.3107609920624516e-09,1.2373944262748166e-09,2008
0.0,-1.2919302257735478e-09,1.245879458592166e-09,2009
0.0,-1.3420104080606399e-09,1.375012773411607e-09,2010
0.0,-1.3606721682207942e-09,1.2048554942871622e-09,2011
0.0,-1.2962182866125022e-09,1.2459005099653041e-09,2012
0.0,-1.2740028787632955e-09,1.3193433898863124e-09,2013
0.0,-1.277807794018311e-09,1.1730138115253218e-09,2014
0.0,-1.2807635706312643e-09,1.384891602315227e-09,2015
0.0,-1.324756136129403e-09,1.5187031680418207e-09,2016
0.0,-1.4417906438914925e-09,1.6192959418736672e-09,2017
0.0,-1.6805824406795296e-09,1.7751207393713706e-09,2018
0.0,-2.1951939018364557e-09,2.209606004555744e-09,2019
0.0,-2.490242687006182e-09,2.6879237426380126e-09,2020
0.0,-3.0185199916600806e-09,3.1250872991693485e-09,2021
0.0,-3.5693262697256493e-09,3.7045304684933464e-09,2022
0.0,-4.056170787572862e-09,4.2205550494222224e-09,2023
