yhat,yhat_lower,yhat_upper,year
0.0,-1.327261158460487e-09,1.304368977901537e-09,1992
0.0,-1.2123195068527172e-09,1.19576577792373e-09,1993
0.0,-1.2785867945154598e-09,1.3362068216882198e-09,1994
0.0,-1.336903398900614e-09,1.2641406823962726e-09,1995
0.0,-1.3083087685257688e-09,1.2533577611136883e-09,1996
0.0,-1.2523640456049062e-09,1.223111570916379e-09,1997
0.0,-1.3046957629917344e-09,1.2462737961965208e-09,1998
0.0,-1.2180981461987246e-09,1.2389278268294924e-09,1999
0.0,-1.2973718897657863e-09,1.3327749837586018e-09,2000
0.0,-1.1845758817013878e-09,1.2399863622635654e-09,2001
0.0,-1.1688927820079671e-09,1.3138512253880732e-09,2002
0.0,-1.2644701591463686e-09,1.253416982266645e-09,2003
0.0,-1.2735469584644812e-09,1.264565189934697e-09,2004
0.0,-1.2823061423888416e-09,1.2514463873781502e-09,2005
0.0,-1.2336239168305504e-09,1.3022526991730479e-09,2006
0.0,-1.2744519596451266e-09,1.3013244357399201e-09,2007
0.0,-1.3760018070971567e-09,1.406543013020581e-09,2008
0.0,-1.2784972869911694e-09,1.236495062765808e-09,2009
0.0,-1.267258889368689e-09,1.2936401096390754e-09,2010
0.0,-1.2044805802891743e-09,1.3078178666203184e-09,2011
0.0,-1.2455217226643091e-09,1.2454544518483467e-09,2012
0.0,-1.2082162196172777e-09,1.258340083856012e-09,2013
0.0,-1.327599175421582e-09,1.2880930330153501e-09,2014
0.0,-1.5890253400247083e-09,1.6781673862161063e-09,2015
0.0,-2.137787026124832e-09,2.318054105872789e-09,2016
0.0,-3.3155443853785024e-09,3.3102505690683685e-09,2017
0.0,-4.51968916560112e-09,4.475910714639007e-09,2018
0.0,-6.051231834257198e-09,5.4294841189238044e-09,2019
0.0,-7.520095470080882e-09,7.013250572132858e-09,2020
0.0,-9.122866925902005e-09,8.776748392503706e-09,2021
0.0,-1.0667680052668613e-08,1.0334832474535201e-08,2022
0.0,-1.251879158962004e-08,1.1934043299471068e-08,2023
